exchange, uptake
EX_14glucan_e, 1000
EX_25dkglcn_e, 1000
EX_2dhglcn_e, 1000
EX_2hxmp_e, 1000
EX_2obut_e, 1000
EX_2pg_e, 1000
EX_2pglyc_e, 1000
EX_3pg_e, 1000
EX_4hba_e, 1000
EX_5dglcn_e, 1000
EX_5drib_e, 1000
EX_6pgc_e, 1000
EX_acac_e, 1000
EX_acald_e, 1000
EX_acon_C_e, 1000
EX_akg_e, 1000
EX_arbt_e, 1000
EX_aso3_e, 1000
EX_aso4_e, 1000
EX_bhb_e, 1000
EX_but_e, 1000
EX_buts_e, 1000
EX_ca2_e, 1000
EX_cellb_e, 1000
EX_cit_e, 1000
EX_cl_e, 1000
EX_co2_e, 1000
EX_co_e, 1000
EX_cobalt2_e, 1000
EX_cu2_e, 1000
EX_dextrin_e, 1000
EX_dha_e, 1000
EX_drib_e, 1000
EX_eths_e, 1000
EX_etoh_e, 1000
EX_f6p_e, 1000
EX_fe2_e, 1000
EX_fe3_e, 1000
EX_fe3dcit_e, 1000
EX_for_e, 1000
EX_fru_e, 1000
EX_fuc_e, 1000
EX_fum_e, 1000
EX_g3pg_e, 1000
EX_g3pi_e, 1000
EX_gal_bD_e, 1000
EX_gal_e, 1000
EX_glc__D_e, 1000
EX_glc__aD_e, 1000
EX_glcn__D_e, 1000
EX_glcn_e, 1000
EX_glucan4_e, 1000
EX_glucan6_e, 1000
EX_glutar_e, 1000
EX_glx_e, 1000
EX_glyald_e, 1000
EX_glyc3p_e, 1000
EX_glyc_e, 1000
EX_glyclt_e, 1000
EX_h2o2_e, 1000
EX_h2o_e, 1000
EX_h2s_e, 1000
EX_h_e, 1000
EX_hco3_e, 1000
EX_hexs_e, 1000
EX_hqn_e, 1000
EX_hxa_e, 1000
EX_icit_e, 1000
EX_inost_e, 1000
EX_istnt_e, 1000
EX_k_e, 1000
EX_lac__D_e, 1000
EX_lac__L_e, 1000
EX_lcts_e, 1000
EX_lipoate_e, 1000
EX_lmn2_e, 1000
EX_madg_e, 1000
EX_mal__L_e, 1000
EX_malt_e, 1000
EX_malthp_e, 1000
EX_malthx_e, 1000
EX_malttr_e, 1000
EX_man1p_e, 1000
EX_man_e, 1000
EX_mbdg_e, 1000
EX_meoh_e, 1000
EX_mg2_e, 1000
EX_mn2_e, 1000
EX_mnl1p_e, 1000
EX_mnl_e, 1000
EX_mobd_e, 1000
EX_mso3_e, 1000
EX_o2_e, 1000
EX_pep_e, 1000
EX_pi_e, 1000
EX_pime_e, 1000
EX_ppi_e, 1000
EX_rib__D_e, 1000
EX_rmn_e, 1000
EX_s_e, 1000
EX_salcn_e, 1000
EX_skm_e, 1000
EX_so3_e, 1000
EX_so4_e, 1000
EX_sucr_e, 1000
EX_sula_e, 1000
EX_tet_e, 1000
EX_tre_e, 1000
EX_tsul_e, 1000
EX_udcpdp_e, 1000
EX_udcpp_e, 1000
EX_xyl3_e, 1000
EX_xyl__D_e, 1000
EX_xylan4_e, 1000
EX_xylb_e, 1000
EX_zn2_e, 1000
